,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
4780,"[""['데코·식물', '홈갤러리', '그림·사진', '일러스트·드로잉']"", ""['가구', '테이블·식탁·책상', '거실·소파테이블']""]","[""['가구', '소파', '일반소파']""]",0.003005259203606311,0.16829451540195342,0.0016904583020285499,0.5625,3.3423549107142856,0.0011846896607003651,1.9010411076526779
8376,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '소파', '일반소파']"", ""['패브릭', '쿠션·방석', '쿠션']""]","[""['조명', '장스탠드']""]",0.002066115702479339,0.0777610818933133,0.0011269722013523666,0.5454545454545454,7.0144927536231885,0.0009663088090108102,2.0289256198347103
5396,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['패브릭', '러그·카페트', '극세사·단모러그']""]","[""['가구', '소파', '일반소파']""]",0.002253944402704733,0.16829451540195342,0.0011269722013523666,0.5,2.970982142857143,0.0007476457203562281,1.6634109691960932
5235,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가전', '계절가전', '선풍기', '실링팬']""]","[""['가구', '소파', '일반소파']""]",0.002253944402704733,0.16829451540195342,0.0011269722013523666,0.5,2.970982142857143,0.0007476457203562281,1.6634109691960932
5452,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']"", ""['패브릭', '쿠션·방석', '쿠션']""]","[""['가구', '소파', '일반소파']""]",0.003005259203606311,0.16829451540195342,0.0015026296018031556,0.5,2.970982142857143,0.0009968609604749708,1.6634109691960932
4766,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '테이블·식탁·책상', '거실·소파테이블']""]","[""['가구', '소파', '일반소파']""]",0.002253944402704733,0.16829451540195342,0.0011269722013523666,0.5,2.970982142857143,0.0007476457203562281,1.6634109691960932
5367,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['데코·식물', '시계', '벽시계']""]","[""['가구', '소파', '일반소파']""]",0.002253944402704733,0.16829451540195342,0.0011269722013523666,0.5,2.970982142857143,0.0007476457203562281,1.6634109691960932
6123,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']"", ""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]","[""['가구', '의자', '인테리어의자']""]",0.006010518407212622,0.22689706987227648,0.0028174305033809165,0.46874999999999994,2.0659147350993377,0.00145366148837099,1.4552525743580678
7730,"[""['데코·식물', '인테리어소품', '장식소품']"", ""['패브릭', '이불·이불솜', '이불', '차렵이불']""]","[""['조명', '단스탠드']""]",0.002441773102930128,0.15326821938392185,0.0011269722013523666,0.4615384615384615,3.01131221719457,0.0007527259857267122,1.572501878287002
5427,"[""['데코·식물', '플라워·식물', '화병·화분', '화분']"", ""['조명', '장스탠드']""]","[""['가구', '소파', '일반소파']""]",0.002441773102930128,0.16829451540195342,0.0011269722013523666,0.4615384615384615,2.7424450549450547,0.0007160351802732166,1.5445958999678007
5390,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['조명', '장스탠드']""]","[""['가구', '소파', '일반소파']""]",0.004132231404958678,0.16829451540195342,0.0018782870022539444,0.45454545454545453,2.700892857142857,0.0011828551204276906,1.5247933884297522
6069,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]","[""['가구', '의자', '인테리어의자']""]",0.003756574004507889,0.22689706987227648,0.0016904583020285499,0.44999999999999996,1.983278145695364,0.000838102667647346,1.4056416911413152
7761,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']"", ""['패브릭', '쿠션·방석', '쿠션']""]","[""['조명', '단스탠드']""]",0.003005259203606311,0.15326821938392185,0.001314800901577761,0.4375,2.8544730392156867,0.0008541901746538787,1.5053009433174722
5440,"[""['데코·식물', '홈갤러리', '그림·사진', '일러스트·드로잉']"", ""['패브릭', '쿠션·방석', '쿠션']""]","[""['가구', '소파', '일반소파']""]",0.004320060105184072,0.16829451540195342,0.0018782870022539444,0.43478260869565216,2.5834627329192545,0.001151244580344679,1.4714789342888515
6074,"[""['데코·식물', '인테리어소품', '장식소품']"", ""['가구', '의자', '인테리어의자']""]","[""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]",0.005634861006761833,0.1684823441021788,0.002441773102930128,0.4333333333333334,2.571980676328503,0.0014923985118209312,1.467384098643214
6122,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']"", ""['가구', '의자', '인테리어의자']""]","[""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]",0.006574004507888805,0.1684823441021788,0.0028174305033809165,0.42857142857142855,2.5437171524128046,0.00170982681375352,1.4551558978211871
1146,"[""['데코·식물', '데스크·디자인문구', '데스크테리어', '데스크수납·정리']""]","[""['가구', '의자', '인테리어의자']""]",0.0035687453042824945,0.22689706987227648,0.0015026296018031556,0.4210526315789474,1.8556988497734404,0.0006928917491410119,1.3353596065842495
